Type,Password,Entropy,Brute-Force Time (s)
AI-Generated,3a%X4cK$f7!N,43.01955000865387,8916.100448256
AI-Generated,3a%X4cK$f7!N,43.01955000865387,8916.100448256
Traditional,-qgIT,11.609640474436812,3.125e-06
Traditional,&(d[H,11.609640474436812,3.125e-06
Traditional,J2a=j,11.609640474436812,3.125e-06
Traditional,7>7=>,7.924812503605781,2.43e-07
Traditional,"n,Soo",10.0,1.024e-06
Traditional,-c4rk,11.609640474436812,3.125e-06
Traditional,""":S38",11.609640474436812,3.125e-06
Traditional,I?XV*,11.609640474436812,3.125e-06
Traditional,-$aOR,11.609640474436812,3.125e-06
Traditional,HSU^B,11.609640474436812,3.125e-06
